PROV1673;Enna;;;;;x
PROV1674;Modica;;;;;x
PROV1675;Novara;;;;;x
PROV1676;Castelseprio;;;;;x
PROV1677;Ticino;;;;;x
PROV1678;Bergano;;;;;x
PROV1679;Belluno;;;;;x
PROV1680;Friuli;;;;;x
PROV1681;Vicensa;;;;;x
PROV1682;Asti;;;;;x
PROV1683;Frosinone;;;;;x
PROV1684;Nerola;;;;;x
PROV1685;Viterbo;;;;;x
PROV1686;Crotone;;;;;x
PROV1687;Marsicovetere;;;;;x
PROV1688;Oria;;;;;x
PROV1689;Gravina;;;;;x
PROV1690;Melfi;;;;;x
PROV1691;Andria;;;;;x
PROV1692;Molise;;;;;x
PROV1693;Anglesey;;;;;x
PROV1694;Larino;;;;;x
PROV1695;Gaeta;;;;;x
PROV1696;Alife;;;;;x
PROV1697;Cherwell;;;;;x
PROV1698;Romerike;;;;;x
PROV1699;Sogn;;;;;x
PROV1700;Fjordane;;;;;x
PROV1701;Romsdal;;;;;x
PROV1702;Uttrondelag;;;;;x
PROV1703;Fosen;;;;;x
PROV1704;Inntrongelag;;;;;x
PROV1705;Gudbrandsdal;;;;;x
PROV1706;Dalarna;;;;;x
PROV1707;Skara;;;;;x
PROV1708;Finnheden;;;;;x
PROV1709;Njudung;;;;;x
PROV1710;;Lugo;;;;;x
PROV1711;Palencia;;;;;x
PROV1712;Barusa;;;;;x
PROV1713;Guadalajara;;;;;x
PROV1714;Alarcon;;;;;x
PROV1715;Segovia;;;;;x
PROV1716;Avila;;;;;x
PROV1717;Ourense;;;;;x
PROV1718;Alava;;;;;x
PROV1719;Gipuzkoa;;;;;x
PROV1720;Jaen;;;;;x
PROV1721;Merida;;;;;x
PROV1722;Tereul;;;;;x
PROV1723;Carmona;;;;;x
PROV1724;Setubal;;;;;x
PROV1725;Leria;;;;;x
PROV1726;Mertcia;;;;;x
PROV1727;Viseu;;;;;x
PROV1728;Trancoso;;;;;x
PROV1729;Horn;;;;;x
PROV1730;Mistlebach;;;;;x
PROV1731;Podborany;;;;;x
PROV1732;Beroun;;;;;x
PROV1733;Trebon;;;;;x
PROV1734;Prachatice;;;;;x
PROV1735;Kromeriz;;;;;x
PROV1736;Saada;;;;;x
PROV1737;Tihamah;;;;;x
PROV1738;Al-Ma'Afir;;;;;x
PROV1739;Kawkaban;;;;;x
PROV1740;;Beihan;;;;;x
PROV1740;Beihan;;;;;x
PROV1741;Yanbu;;;;;x
PROV1741;Yanbu;;;;;x
PROV1742;Waqisa;;;;;x
PROV1742;Waqisa;;;;;x
PROV1743;Al-Qurnah;;;;;x
PROV1743;Qurnah;;;;;x
PROV1744;Hillah;;;;;x
PROV1744;Hillah;;;;;x
PROV1745;Samawaha;;;;;x
PROV1745;Samawaha;;;;;x
PROV1746;Shuyukh;;;;;x
PROV1746;Shuyukh;;;;;x
PROV1747;Fallujah;;;;;x
PROV1747;Fallujah;;;;;x
PROV1748;Erbil;;;;;x
PROV1748;Erbil;;;;;x
PROV1749;Dohuk;;;;;x
PROV1749;Dohuk;;;;;x
PROV1750;Zamwa;;;;;x
PROV1750;Zamwa;;;;;x
PROV1751;Samarra;;;;;x
PROV1751;Samarra;;;;;x
PROV1752;Sharaban;;;;;x
PROV1752;Sharaban;;;;;x
PROV1753;Baqubah;;;;;x
PROV1753;Baqubah;;;;;x
PROV1754;Bakhdida;;;;;x
PROV1754;Bakhdida;;;;;x
PROV1755;Baqofah;;;;;x
PROV1755;Baqofah;;;;;x
PROV1756;Zakho;;;;;x
PROV1756;Zakho;;;;;x
PROV1757;Ashair Al Sab'aa;;;;;x
PROV1757;Ashair Al Sabaa;;;;;x
PROV1758;Soran;;;;;x
PROV1758;Soran;;;;;x
PROV1759;Tel Afar;;;;;x
PROV1759;Tel Afar;;;;;x
PROV1760;Kut;;;;;x
PROV1760;Kut;;;;;x
PROV1761;Wasit;;;;;x
PROV1761;Wasit;;;;;x
PROV1762;Naqis;;;;;x
PROV1762;Naqis;;;;x
PROV1763;Akhmim;;;;;x
PROV1763;Akhmim;;;;x
PROV1764;Atfih;;;;;x
PROV1764;Atfih;;;;x
PROV1765;Manfalut;;;;;x
PROV1765;Manfalut;;;;x
PROV1766;Bilbelis;;;;;x
PROV1766;Bilbelis;;;;x
PROV1767;Nalut;;;;;x
PROV1767;Nalut;;;;x
PROV1768;Zarzis;;;;;x
PROV1768;Zarzis;;;;;x
PROV1769;Zuwarah;;;;;x
PROV1769;Zuwarah;;;;;x
PROV1770;Misrata;;;;;x
PROV1771;El Agheila;;;;;x
PROV1772;Fuqaha;;;;;x
PROV1773;Zella;;;;;x
PROV1774;Brak;;;;;x
PROV1775;Tazirbu;;;;;x
PROV1776;Maradah;;;;;x
PROV1777;Ajdabiya;;;;;x
PROV1778;Zuewetina;;;;;x
PROV1779;Dema;;;;;x
PROV1780;Qamnis;;;;;x
PROV1781;Sfax;;;;;x
PROV1782;Kerkennah;;;;;x
PROV1783;Nabeul;;;;;x
PROV1784;Zaghouan;;;;;x
PROV1785;Sidi Bouzid;;;;;x
PROV1786;Kef;;;;;x
PROV1787;Jendouba;;;;;x
PROV1788;Gafsa;;;;;x
PROV1789;Siliana;;;;;x
PROV1790;Tataouine;;;;;x
PROV1791;Kebili;;;;;x
PROV1792;Tozeur;;;;;x
PROV1793;Jijel;;;;;x
PROV1794;Tebessa;;;;;x
PROV1795;Albulae;;;;;x
PROV1796;Saida;;;;;x
PROV1797;Tenes;;;;;x
PROV1798;Tiaret;;;;;x
PROV1799;Bumerdes;;;;;x
PROV1800;Centuria;;;;;x
PROV1801;Wargla;;;;;x
PROV1802;Illizi;;;;;x
PROV1803;Tehouda;;;;;x
PROV1804;Ghardia;;;;;x
PROV1805;Laghwat;;;;;x
PROV1806;Naama;;;;;x
PROV1807;Sijilmassa;;;;;x
PROV1808;Takedda;;;;;x
PROV1809;Diskam;;;;;x
PROV1810;Draa;;;;;x
PROV1811;Taroudant;;;;;x
PROV1812;Tafilalt;;;;;x
PROV1813;Rabat;;;;;x
PROV1814;Tin Mal;;;;;x
PROV1815;Nekkor;;;;;x
PROV1816;Manbij;;;;;x
PROV1816;Manbij;;;;x
PROV1817;Qinasrin;;;;;x
PROV1817;Qinasrin;;;;x
PROV1818;Raqqa;;;;;x
PROV1818;Raqqa;;;;x
PROV1819;Harran;;;;;x
PROV1819;Harran;;;;x
PROV1820;Mardin;;;;;x
PROV1820;Mardin;;;;x
PROV1821;Nazereth;;;;;x
PROV1821;Nazereth;;;;x
PROV1822;Nabulus;;;;;x
PROV1822;Nabulus;;;;x
PROV1823;Bethlehem;;;;;x
PROV1823;Bethlehem;;;;x
PROV1824;Jericho;;;;;x
PROV1824;Jericho;;;;x
PROV1825;Ramallah;;;;;x
PROV1825;Ramallah;;;;x
PROV1826;Ibelin;;;;;x
PROV1826;Ibelin;;;;x
PROV1827;Caeserea;;;;;x
PROV1827;Caeserea;;;;x
PROV1828;Balqa;;;;;x
PROV1828;Balqa;;;;x
PROV1829;Jabiyah;;;;;x
PROV1829;Jabiyah;;;;x
PROV1830;Sinai Desert;;;;;x
PROV1830;Sinai Desert;;;;x
PROV1831;Byblos;;;;;x
PROV1831;Byblos;;;;x
PROV1832;Zahle;;;;;x
PROV1832;Zahle;;;;x
PROV1833;Marjayoun;;;;;x
PROV1833;Marjayoun;;;;x
PROV1834;Sidon;;;;;x
PROV1834;Sidon;;;;x
PROV1835;Lika;;;;;x
PROV1836;Modrus;;;;;x
PROV1837;Brac;;;;;x
PROV1838;Hvar;;;;;x
PROV1839;Vis;;;;;x
PROV1840;Korcula;;;;;x
PROV1841;Mljet;;;;;x
PROV1842;Corfu;;;;;x
PROV1843;Cres;;;;;x
PROV1844;Pag;;;;;x
PROV1845;Dugi Otok;;;;;x
PROV1846;Elba;;;;;x
PROV1847;Pantelleria;;;;;x
PROV1848;Opatija;;;;;x
PROV1849;Phlegraean;;;;;x
PROV1850;Ibiza;;;;;x
PROV1851;Okic;;;;;x
PROV1852;Vodica;;;;;x
PROV1853;Vrhbosna;;;;;x
PROV1854;Tuzla;;;;;x
PROV1855;Podgorje;;;;;x
PROV1856;Tropore;;;;;x
PROV1857;Macva;;;;;x
PROV1858;Polimlje;;;;;x
PROV1859;Syrmia;;;;;x
PROV1860;Hvosno;;;;;x
PROV1861;Ras;;;;;x
PROV1862;Veszprem;;;;;x
PROV1863;Gyok;;;;;x
PROV1864;Gobi;;;;;x
PROV1865;Ordos;;;;;x
PROV1866;Shinejinst;;;;;x
PROV1867;Ganzhou;;;;;x
PROV1868;Lanzhou;;;;;x
PROV1869;Dingxi;;;;;x
PROV1870;Khalkha;;;;;x
PROV1871;Tariat;;;;;x
PROV1872;Tanbulang;;;;;x
PROV1873;Urga;;;;;x
PROV1874;Nibuchu;;;;;x
PROV1875;Baerguijin;;;;;x
PROV1876;Kulekute;;;;;x
PROV1877;Tuerka;;;;;x
PROV1878;Shuanghu;;;;;x
PROV1879;Naggu;;;;;x
PROV1880;Youdunzi;;;;;x
PROV1881;Jammu;;;;;x
PROV1882;Himachal Pradesh;;;;;x
PROV1883;Dharasamsala;;;;;x
PROV1884;Kupwara;;;;;x
PROV1885;Leh;;;;;x
PROV1886;Rutong;;;;;x
PROV1887;Gar;;;;;x
PROV1888;Gerzi;;;;;x
PROV1889;Gegyai;;;;;x
PROV1890;Coqen;;;;;x
PROV1891;Zhongba;;;;;x
PROV1892;Saga;;;;;x
PROV1893;Sakya;;;;;x
PROV1894;Gyantse;;;;;x
PROV1895;Dadelhura;;;;;x
PROV1896;Katmandu;;;;;x
PROV1897;Ilam;;;;;x
PROV1898;Karakoram;;;;;x
PROV1899;Shigatse;;;;;x
PROV1900;Ngambring;;;;;x
PROV1901;Nyima;;;;;x
PROV1902;Lhasa;;;;;x
PROV1903;;;;;;x
PROV1904;;;;;;x
PROV1905;Strasburg;;;;;x
PROV1906;Buda;;;;;x
PROV1907;Szolnok;;;;;x
PROV1908;Szeged;;;;;x
PROV1909;Szabolcs;;;;;x
PROV1910;Tibet Placeholder 2;;;;;x
PROV1911;Tibet Placeholder 1;;;;;x
PROV1912;Tibet Placeholder 3;;;;;x
PROV1913;Tibet Placeholder 4;;;;;x
PROV1914;Tibet Placeholder 5;;;;;x
PROV1915;Tibet Placeholder 6;;;;;x
PROV1916;Tibet Placeholder 7;;;;;x
PROV1917;Tibet Placeholder 8;;;;;x
PROV1918;Tibet Placeholder 9;;;;;x
PROV1919;Tibet Placeholder 10;;;;;x
PROV1920;Tibet Placeholder 11;;;;;x
PROV1921;Viveiro;;;;;x
PROV1922;Castrillon;;;;;x
PROV1923;Butana;;;;;x
PROV1923;Butana;;;x
PROV1924;Bayan;;;;;x
PROV1924;Bayan;;;;x
PROV1925;;;;;;x
PROV1926;;;;;;x
PROV1927;;;;;;x
PROV1928;;;;;;x
PROV1929;;;;;;x
PROV1930;;;;;;x
PROV1931;;;;;;x
PROV1932;;;;;;x
PROV1933;;;;;;x
PROV1934;;;;;;x
PROV1935;;;;;;x
PROV1936;;;;;;x
PROV1937;;;;;;x
PROV1938;;;;;;x
PROV1939;;;;;;x
PROV1940;;;;;;x
PROV1941;;;;;;x
PROV1942;;;;;;x
PROV1943;;;;;;x
PROV1944;;;;;;x
PROV1945;;;;;;x
PROV1946;;;;;;x
PROV1947;;;;;;x
PROV1948;;;;;;x
PROV1949;;;;;;x
PROV1950;;;;;;x
PROV1951;;;;;;x
PROV1952;;;;;;x
PROV1953;;;;;;x
PROV1954;;;;;;x
PROV1955;;;;;;x
PROV1956;;;;;;x
PROV1957;;;;;;x
PROV1958;;;;;;x
PROV1959;;;;;;x
PROV1960;;;;;;x
PROV1961;;;;;;x
PROV1962;;;;;;x
PROV1963;;;;;;x
PROV1964;;;;;;x
PROV1965;;;;;;x
PROV1966;;;;;;x
PROV1967;;;;;;x
PROV1968;;;;;;x
PROV1969;;;;;;x
PROV1970;;;;;;x
PROV1971;;;;;;x
PROV1972;;;;;;x
PROV1973;;;;;;x
PROV1974;;;;;;x
PROV1975;;;;;;x
PROV1976;;;;;;x
PROV1977;;;;;;x
PROV1978;;;;;;x
PROV1979;;;;;;x
PROV1980;;;;;;x
PROV1981;;;;;;x
PROV1982;;;;;;x
PROV1983;;;;;;x
PROV1984;;;;;;x
PROV1985;;;;;;x
PROV1986;;;;;;x
PROV1987;;;;;;x
PROV1988;;;;;;x
PROV1989;;;;;;x
PROV1990;;;;;;x
PROV1991;;;;;;x
PROV1992;;;;;;x
PROV1993;;;;;;x
PROV1994;;;;;;x
PROV1995;;;;;;x
PROV1996;;;;;;x
PROV1997;;;;;;x
PROV1998;;;;;;x
PROV1999;;;;;;x
PROV2000;Fazughli;;;;;x
PROV2001;Tegali;;;;;x
PROV2002;Kobbe;;;;;x
PROV2003;Borno;;;;;x
PROV2004;Kotoko;;;;;x
PROV2005;Logone;;;;;x
PROV2006;Mandara;;;;;x
PROV2007;Marghi;;;;;x
PROV2008;Bedde;;;;;x
PROV2009;Barruwa;;;;;x
PROV2010;Daura;;;;;x
PROV2011;Zinder;;;;;x
PROV2012;Djado;;;;;x
PROV2013;Tenere;;;;;x
PROV2014;Tajhari;;;;;x
PROV2015;Birama;;;;;x
PROV2016;Rano;;;;;x
PROV2017;Bauchi;;;;;x
PROV2018;Jola;;;;;x
PROV2019;Fitri;;;;;x
PROV2020;Geneina;;;;;x
PROV2021;Agaei;;;;;x
PROV2022;Pindinga;;;;;x
PROV2023;Zazzau;;;;;x
PROV2024;Yawuri;;;;;x
PROV2025;Zamfara;;;;;x
PROV2026;Katsina;;;;;x
PROV2027;Kebi;;;;;x
PROV2028;Karabara;;;;;x
PROV2029;Tendima;;;;;x
PROV2030;Bulom;;;;;x
PROV2031;Aribanda;;;;;x
PROV2032;Dendi;;;;;x
PROV2033;Dallol;;;;;x
PROV2034;Ader;;;;;x
PROV2035;Azawagh;;;;;x
PROV2036;In-Gall;;;;;x
PROV2037;Kala;;;;;x
PROV2038;Do;;;;;x
PROV2039;Bendugu;;;;;x
PROV2040;Itesan;;;;;x
PROV2041;Hombori;;;;;x
PROV2042;Haayre;;;;;x
PROV2043;Liptako;;;;;x
PROV2044;Yatenga;;;;;x
PROV2045;Wagadugu;;;;;x
PROV2046;Bilanga;;;;;x
PROV2047;Tenkodogo;;;;;x
PROV2048;Lobi;;;;;x
PROV2049;Gwiriko;;;;;x
PROV2050;Bagoe;;;;;x
PROV2051;Kong;;;;;x
PROV2052;Bonoman;;;;;x
PROV2053;Dagbon;;;;;x
PROV2054;Atakora;;;;;x
PROV2055;Borgu;;;;;x
PROV2056;Kajami;;;;;x
PROV2057;Azawad;;;;;x
PROV2058;Akjoujt;;;;;x
PROV2059;Mema;;;;;x
PROV2060;Segu;;;;;x
PROV2061;Massina;;;;;x
PROV2062;Gabu;;;;;x
PROV2063;Wagadu;;;;;x
PROV2064;Siine;;;;;x
PROV2065;Cayor;;;;;x
PROV2066;Trarza;;;;;x
PROV2067;Wolof;;;;;x
PROV2068;Beafada;;;;;x
PROV2069;Kantor;;;;;x
PROV2070;Timbo;;;;;x
PROV2071;Galam;;;;;x
PROV2072;Bure;;;;;x
PROV2073;Niani;;;;;x
PROV2074;Tekrur;;;;;x
PROV2075;Brakna;;;;;x
PROV2076;Tagant;;;;;x
PROV2077;Murzuk;;;;;x
PROV2078;Ile-Ife;;;;;x
PROV2079;Gyaaman;;;;;x
PROV2080;Shilluk;;;;;x
PROV2081;Kumasi;;;;;x
PROV2082;Ketu;;;;;x
PROV2083;Kurdufan;;;;;x
PROV2084;PROV2084;;;;;x
PROV2085;PROV2085;;;;;x
PROV2086;PROV2086;;;;;x
PROV2087;PROV2087;;;;;x
PROV2088;PROV2088;;;;;x
PROV2089;PROV2089;;;;;x
PROV2090;PROV2090;;;;;x
PROV2091;PROV2091;;;;;x
PROV2092;PROV2092;;;;;x
PROV2093;PROV2093;;;;;x
PROV2094;PROV2094;;;;;x
PROV2095;PROV2095;;;;;x
PROV2096;PROV2096;;;;;x
PROV2097;PROV2097;;;;;x
PROV2098;PROV2098;;;;;x
PROV2099;PROV2099;;;;;x
PROV2100;PROV2100;;;;;x
PROV2101;PROV2101;;;;;x
PROV2102;PROV2102;;;;;x
PROV2103;PROV2103;;;;;x
PROV2104;PROV2104;;;;;x
PROV2105;PROV2105;;;;;x
PROV2106;PROV2106;;;;;x
PROV2107;PROV2107;;;;;x
PROV2108;PROV2108;;;;;x
PROV2109;PROV2109;;;;;x
PROV2110;PROV2110;;;;;x
PROV2111;PROV2111;;;;;x
PROV2112;PROV2112;;;;;x
PROV2113;PROV2113;;;;;x
PROV2114;PROV2114;;;;;x
PROV845;Anti-Atlas;;;;x
